135004-776;A;7.68595584124
135004-776;B;4.59313679149
135004-776;C;3.5655474357
135004-776;D;2.96802230977
135004-776;E;3.70932454672
135034-541;A;10.1308843824
135034-541;B;4.9248050435
135034-541;C;4.10625294311
135034-541;D;3.07786657724
135034-541;E;4.70779921415
135104-046;A;8.07273943966
135104-046;B;4.4939344723
135104-046;C;3.5920691572
135104-046;D;3.18311853264
135104-046;E;4.20593364978
135132-721;A;8.99156081972
135132-721;B;5.20608206232
135132-721;C;4.40279696098
135132-721;D;3.23584142689
135132-721;E;4.6832994016
135200-235;A;12.3257288097
135200-235;B;5.7631447675
135200-235;C;4.18383874027
135200-235;D;3.51459836582
135200-235;E;4.37463726617
135228-437;A;11.3043927484
135228-437;B;5.2501257911
135228-437;C;4.04694447757
135228-437;D;3.28915998496
135228-437;E;3.68344275979
135256-436;A;10.8267983956
135256-436;B;5.03293342403
135256-436;C;3.94607422053
135256-436;D;2.94838994599
135256-436;E;3.49052083218
135326-017;A;7.62443309626
135326-017;B;4.47912912499
135326-017;C;3.27192993035
135326-017;D;2.78886631372
135326-017;E;3.5057491462
135354-277;A;8.89975225756
135354-277;B;4.86147493032
135354-277;C;3.66129153803
135354-277;D;3.25839339804
135354-277;E;4.0646851111
135423-432;A;6.0333679956
135423-432;B;4.21065392979
135423-432;C;3.25905679033
135423-432;D;2.37040650743
135423-432;E;2.91663854244
135451-930;A;7.05594400664
135451-930;B;4.21922678974
135451-930;C;3.3503884467
135451-930;D;2.89040659522
135451-930;E;3.95304988929
135520-324;A;8.38013453007
135520-324;B;4.75595350354
135520-324;C;3.61761804968
135520-324;D;2.85402168011
135520-324;E;3.83816494458
