Capacitance Test;;;Directory: C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs
missing_files;not_matched;without_pixel_gain;yield;number_of_tests;passed_tests;failed_tests
[];[];[];0.811;37;30;7

types_order: ;blob

Config
blob.BlobConfig;;blob.PxlCtrlInfo;
blob_threshold;max_number_of_blob_pixels;pixel_gain;max_pixel_gain
3.5000000480067683e-06;7;3;3

Result
;;;dead_pixels_list;;;;blob.CapacitanceResult;;;;;;;;;;;blob.BlobResult;;;;;
test_id;file_paths;pass;num_dead_pixels;dead_pixels_index_list;list_max_size;is_initialized;min;min5;median;max5;max;vdd_tx;uniformity_level;signal_strength;capacitance_size;capacitance_image;capacitance_image_float;number_of_blob_pixels;detection_image;blob_image;width;height;pass
0341G1PR36200907_20170626-105026-118;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36200907_20170626-105026-118_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36200907_20170626-105026-118_painted.png;True;0;[];5000;1;0.4109179377555847;0.430255264043808;0.47859853506088257;0.502770185470581;0.5196903347969055;1.8;0.151515134532429;0.47859853506088257;11264;-;-;0;[];[];64;176;True
0341G1PR36200A07_20170626-102748-359;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36200A07_20170626-102748-359_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36200A07_20170626-102748-359_painted.png;True;0;[];5000;1;0.42542093992233276;0.4423410892486572;0.4882672131061554;0.5100216865539551;0.529358983039856;1.8;0.1386138480909699;0.4882672131061554;11264;-;-;0;[];[];64;176;True
0341G1PR36F50B0A_20170626-102518-228;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36F50B0A_20170626-102518-228_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36F50B0A_20170626-102518-228_painted.png;True;0;[];5000;1;0.3770776391029358;0.39399778842926025;0.4665127098560333;0.4834328591823578;0.49551868438720703;1.8;0.19170982668553094;0.4665127098560333;11264;-;-;0;[];[];64;176;True
0341G1PR36FB010A_20170626-104907-518;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FB010A_20170626-104907-518_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FB010A_20170626-104907-518_painted.png;True;0;[];5000;1;0.3553231656551361;0.4350895881652832;0.49793586134910583;0.5172731876373291;0.529358983039856;1.8;0.16504856518945615;0.49793586134910583;11264;-;-;5;[(8041, 4.902558430330828e-06), (8104, 5.2824120757577475e-06), (8105, 1.1609712601057254e-05), (8106, 4.7986259232857265e-06), (8169, 4.814512067241594e-06)];[(8041, 255), (8104, 255), (8105, 255), (8106, 255), (8169, 255)];64;176;True
0341G1PR36FC020A_20170626-102228-200;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FC020A_20170626-102228-200_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FC020A_20170626-102228-200_painted.png;True;0;[];5000;1;0.39158064126968384;0.4109179377555847;0.4640955626964569;0.4834328591823578;0.49793586134910583;1.8;0.15624997792577835;0.4640955626964569;11264;-;-;0;[];[];64;176;True
0341G1PR36FE080A_20170626-102007-948;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FE080A_20170626-102007-948_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36FE080A_20170626-102007-948_painted.png;True;0;[];5000;1;0.4060836136341095;0.42058658599853516;0.4665127098560333;0.4858500361442566;0.502770185470581;1.8;0.13989640317808674;0.4665127098560333;11264;-;-;0;[];[];64;176;True
20170626-101626-062;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-101626-062_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-101626-062_painted.png;True;0;[];5000;1;0.38916346430778503;0.4060836136341095;0.47376421093940735;0.4906843602657318;0.5076045393943787;1.8;0.17857141733832324;0.47376421093940735;11264;-;-;0;[];[];64;176;True
20170626-101926-021;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-101926-021_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-101926-021_painted.png;False;0;[];5000;1;0.19820748269557953;0.36257466673851013;0.47376421093940735;0.5051873326301575;0.53661048412323;1.8;0.3010203442950379;0.47376421093940735;11264;-;-;13;[(52, 7.038855255814269e-05), (53, 0.00014906864089425653), (54, 0.00015738894580863416), (55, 8.840973168844357e-05), (56, 6.747558472852688e-06), (117, 2.1167263184906915e-05), (118, 2.4974933694466017e-05), (640, 9.767579467734322e-05), (704, 0.00020797742763534188), (705, 3.430085416766815e-05), (768, 0.0001448658003937453), (769, 1.0140157428395469e-05), (832, 7.89085061114747e-06)];[(52, 255), (53, 255), (54, 255), (55, 255), (56, 255), (117, 255), (118, 255), (640, 255), (704, 255), (705, 255), (768, 255), (769, 255), (832, 255)];64;176;False
20170626-102033-876;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102033-876_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102033-876_painted.png;False;0;[];5000;1;0.12810970842838287;0.4326724112033844;0.4906843602657318;0.5076045393943787;0.529358983039856;1.8;0.15270942842036886;0.4906843602657318;11264;-;-;10;[(5823, 3.6775466014660196e-06), (5887, 5.690240868716501e-06), (6014, 1.3632504305860493e-05), (6077, 1.804231942514889e-05), (6078, 4.30428990512155e-05), (6079, 1.087971031665802e-05), (6142, 1.656551285122987e-05), (6143, 3.817155175056541e-06), (6271, 4.875064405496232e-06), (6335, 4.063877440785291e-06)];[(5823, 255), (5887, 255), (6014, 255), (6077, 255), (6078, 255), (6079, 255), (6142, 255), (6143, 255), (6271, 255), (6335, 255)];64;176;False
20170626-102138-669;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102138-669_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\20170626-102138-669_painted.png;True;0;[];5000;1;0.4085007905960083;0.42542093992233276;0.48101571202278137;0.4931015372276306;0.502770185470581;1.8;0.1407035063796262;0.48101571202278137;11264;-;-;0;[];[];64;176;True
